"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010563","GO:0010563","negative regulation of phosphorus metabolic process","37/608","440/18614",1.57711946428302e-07,3.20352391182489e-05,2.45283579839807e-05,"5154/7026/857/54541/56937/2167/1026/805/4616/7128/10614/23645/9021/8440/90007/4869/6093/5728/650/284/9475/5573/5577/8655/6774/5478/8651/55450/3192/5770/1032/5515/1027/3301/3082/10399/10253",37
"GO:0045727","GO:0045727","positive regulation of translation","19/608","141/18614",1.70338484180428e-07,3.32160044151835e-05,2.54324322064757e-05,"3569/23645/8440/26986/6451/4869/8531/6125/9775/1654/4904/6191/3646/1984/10140/3192/1938/7555/6154",19
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","14/608","78/18614",2.0196810461329e-07,3.71946035728149e-05,2.84787183307318e-05,"6201/6217/4869/6202/6193/6223/6194/6232/6203/6208/6169/6230/6234/6229",14
"GO:0016032","GO:0016032","viral process","36/608","426/18614",2.0600088132636e-07,3.71946035728149e-05,2.84787183307318e-05,"6347/6355/857/9636/2040/858/684/8519/10581/10614/26986/3428/3576/1105/1072/5901/5478/3688/10410/10155/1654/1452/5093/3838/81603/5819/6520/1969/9218/3276/51386/8666/3146/920/1915/2959",36
"GO:0002183","GO:0002183","cytoplasmic translational initiation","10/608","38/18614",2.65707197369008e-07,4.6261520970497e-05,3.54209669876129e-05,"6451/1983/1973/3646/1974/27335/8667/51386/8666/8669",10
"GO:0007160","GO:0007160","cell-matrix adhesion","25/608","239/18614",3.17035982673577e-07,5.32948419149548e-05,4.0806155882414e-05,"4059/2824/3679/182/6366/3672/5747/6093/5728/7094/9475/7414/56999/10395/3688/8874/604/948/960/7402/87/5328/395/7422/3987",25
"GO:0001732","GO:0001732","formation of cytoplasmic translation initiation complex","7/608","16/18614",3.39189003950204e-07,5.51182131419082e-05,4.22022529125412e-05,"1983/3646/27335/8667/51386/8666/8669",7
"GO:0006446","GO:0006446","regulation of translational initiation","14/608","82/18614",3.84641674790282e-07,6.04880053097621e-05,4.63137310290778e-05,"23645/8440/6451/1983/4869/468/10289/1654/3646/1982/1974/10209/27335/8667",14
"GO:0001667","GO:0001667","ameboidal-type cell migration","39/608","496/18614",4.13808496754396e-07,6.30411381774275e-05,4.82685832069437e-05,"59/7026/285/4208/397/388/4627/9124/11156/7145/9839/1910/84159/5747/7114/6093/506/2113/2303/5728/284/9475/3164/25959/56999/5872/3688/8874/1909/1942/3911/4780/1969/54910/3091/1960/7422/3146/10982",39
"GO:0003158","GO:0003158","endothelium development","18/608","137/18614",5.26109791863205e-07,7.53798419158386e-05,5.77159340207425e-05,"2701/7026/81575/388/182/694/1910/6093/2303/9475/7414/7430/1909/7082/23135/23462/23493/7422",18
"GO:0061041","GO:0061041","regulation of wound healing","18/608","137/18614",5.26109791863205e-07,7.53798419158386e-05,5.77159340207425e-05,"59/5154/4638/857/150/114897/7035/7128/5747/2303/5728/3688/948/4780/7056/58189/5328/5592",18
"GO:0051146","GO:0051146","striated muscle cell differentiation","28/608","297/18614",5.415857787624e-07,7.53798419158386e-05,5.77159340207425e-05,"10398/4629/7168/552/84525/4208/1465/4627/25802/858/8470/51177/5159/650/5573/3688/2274/1466/4904/7528/30846/56603/3192/23135/10938/221662/23493/7422",28
"GO:0051098","GO:0051098","regulation of binding","32/608","369/18614",5.56651140301577e-07,7.53798419158386e-05,5.77159340207425e-05,"84525/857/7262/1026/805/3428/5350/7114/6093/567/2296/3925/650/284/9775/5901/28996/1649/8874/10155/1452/3646/51068/64641/6604/23462/3976/5515/23493/10399/3146/2959",32
"GO:0034101","GO:0034101","erythrocyte homeostasis","18/608","139/18614",6.54134292926359e-07,8.49413838339482e-05,6.50369008529404e-05,"2034/292/9636/221395/567/2113/6223/6774/28996/6194/604/677/6208/3276/55904/3091/7422/6229",18
"GO:0001952","GO:0001952","regulation of cell-matrix adhesion","17/608","125/18614",6.62107197064622e-07,8.49413838339482e-05,6.50369008529404e-05,"2824/182/6366/5747/6093/5728/7094/9475/7414/10395/604/948/7402/5328/395/7422/3987",17
"GO:0033002","GO:0033002","muscle cell proliferation","25/608","249/18614",6.86938547404478e-07,8.58673184255598e-05,6.57458593548254e-05,"3569/7168/4854/9510/4208/6909/1026/8013/858/7128/1264/5159/2296/2303/5728/650/284/5573/57447/1649/388585/1027/3082/23493/5592",25
"GO:0006364","GO:0006364","rRNA processing","23/608","218/18614",8.05840599406942e-07,9.82118230527211e-05,7.51976517236057e-05,"6201/6217/9188/6202/6125/6223/9775/6194/6232/10528/6129/6208/29997/9045/5036/6165/6230/6234/11224/9221/6155/6229/6154",23
"GO:0002262","GO:0002262","myeloid cell homeostasis","20/608","171/18614",8.30970714200527e-07,9.88044446762822e-05,7.56514031464716e-05,"3569/2034/292/9636/221395/567/2113/6223/6774/28996/6194/604/677/6208/3276/55904/3091/7422/3146/6229",20
"GO:0019079","GO:0019079","viral genome replication","17/608","129/18614",1.03987516248561e-06,0.000120699795645651,9.24159730870669e-05,"6347/6355/9636/2040/684/8519/10581/26986/3428/3576/5478/10410/10155/1654/5093/9218/1915",17
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","23/608","222/18614",1.1082387366031e-06,0.000125643345138142,9.62010908199408e-05,"285/2824/182/25975/2316/81/6366/133584/5747/6093/5728/7094/9475/7414/10395/8874/604/948/7402/5328/395/7422/3987",23
"GO:0007266","GO:0007266","Rho protein signal transduction","17/608","130/18614",1.16067015737037e-06,0.000125739267048457,9.62745351587212e-05,"2059/150/397/388/9411/5159/6093/3925/9475/1072/25959/10395/3688/604/2828/10276/395",17
"GO:0030218","GO:0030218","erythrocyte differentiation","17/608","130/18614",1.16067015737037e-06,0.000125739267048457,9.62745351587212e-05,"2034/292/9636/221395/567/2113/6223/6774/28996/6194/604/677/6208/3276/55904/3091/7422",17
"GO:0016072","GO:0016072","rRNA metabolic process","25/608","257/18614",1.23466375054581e-06,0.000130847517041539,0.000100185758797149,"6201/4691/6217/9188/6202/6125/6223/9775/6194/6232/10528/6129/284119/6208/29997/9045/5036/6165/6230/6234/11224/9221/6155/6229/6154",25
"GO:0030048","GO:0030048","actin filament-based movement","17/608","131/18614",1.29401451477169e-06,0.000134219590627915,0.000102767647690491,"59/7168/23704/857/10060/3764/4627/4430/2316/81/10052/5350/6093/4637/476/23224/6330",17
"GO:0014706","GO:0014706","striated muscle tissue development","25/608","259/18614",1.42352996964675e-06,0.000144577262542248,0.00011069818579753,"4629/7168/84525/4208/6909/8470/10052/5159/5350/2296/2303/650/5573/56999/3688/1909/2274/7528/3192/23135/23462/3475/3276/23493/7422",25
"GO:0062197","GO:0062197","cellular response to chemical stress","30/608","349/18614",1.50854953347134e-06,0.00014976403378048,0.000114669530641961,"3569/4638/2034/7168/857/388/8013/80303/7128/8531/468/5074/5478/1649/1909/1654/6421/6188/948/677/23135/4780/328/10276/135112/3091/3301/3082/10399/4170",30
"GO:0048738","GO:0048738","cardiac muscle tissue development","24/608","243/18614",1.53604137210749e-06,0.00014976403378048,0.000114669530641961,"4629/7168/84525/4208/6909/8470/10052/5159/5350/2296/2303/650/5573/56999/3688/1909/2274/7528/3192/23135/23462/3276/23493/7422",24
"GO:0002064","GO:0002064","epithelial cell development","22/608","210/18614",1.57021550364103e-06,0.00015009412902451,0.000114922274012613,"59/2034/182/1910/2355/2487/6093/2303/468/9475/7414/5872/7430/1909/7082/51742/2195/2828/1969/171023/3091/7422",22
"GO:0007219","GO:0007219","Notch signaling pathway","20/608","179/18614",1.71563534281345e-06,0.000160840813388761,0.000123150666510456,"4854/56892/441478/6909/182/8470/11156/5350/2296/2303/650/1004/6774/54492/604/388585/23462/23013/1027/23493",20
"GO:0048844","GO:0048844","artery morphogenesis","13/608","80/18614",1.79151916378527e-06,0.000164785960819871,0.000126171339717628,"4638/4854/6909/182/221395/5159/2296/2303/56999/1909/23462/23493/7422",13
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","12/608","69/18614",2.1281416862593e-06,0.000188217790117414,0.000144112341971681,"4869/6125/6147/6128/6129/29997/6134/9045/6169/6165/11224/6154",12
"GO:0150116","GO:0150116","regulation of cell-substrate junction organization","12/608","69/18614",2.1281416862593e-06,0.000188217790117414,0.000144112341971681,"2824/5747/6093/5728/7094/9475/7414/10395/395/7422/10982/3987",12
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","19/608","166/18614",2.16209153775901e-06,0.000188217790117414,0.000144112341971681,"857/595/81575/182/694/2487/6093/2296/650/9475/7414/23764/677/388585/3976/1027/23493/7422/10253",19
"GO:0072001","GO:0072001","renal system development","28/608","320/18614",2.3842207999552e-06,0.0002039136210488,0.000156130137703437,"59/5154/1282/4854/285/9510/4208/3764/182/5159/1910/4609/84159/2028/4953/2296/2303/650/284/25959/1909/3911/56603/388585/2828/3976/171023/7422",28
"GO:0001649","GO:0001649","osteoblast differentiation","24/608","250/18614",2.53747680581943e-06,0.000213279300489133,0.000163301138900829,"3400/3569/4208/1052/182/8519/51232/9188/5747/506/468/650/7171/2274/1749/3183/3336/1655/10140/3192/1969/26156/3082/3727",24
"GO:0001933","GO:0001933","negative regulation of protein phosphorylation","29/608","341/18614",2.78743502273213e-06,0.0002275029070532,0.000174191699521867,"7026/857/54541/56937/2167/1026/805/4616/7128/10614/9021/8440/4869/5728/650/284/5573/5577/5478/8651/55450/5770/1032/5515/1027/3301/3082/10399/10253",29
"GO:0090130","GO:0090130","tissue migration","31/608","379/18614",2.86806721572913e-06,0.0002275029070532,0.000174191699521867,"59/7026/285/4208/388/4627/11156/9839/72/5747/7114/6093/506/2113/2303/5728/284/9475/3164/25959/56999/5872/3688/1942/4780/1969/3091/1960/7422/3146/10982",31
"GO:0072012","GO:0072012","glomerulus vasculature development","8/608","29/18614",2.89337030508685e-06,0.0002275029070532,0.000174191699521867,"59/4854/285/5159/2303/284/1909/2828",8
"GO:2000765","GO:2000765","regulation of cytoplasmic translation","8/608","29/18614",2.89337030508685e-06,0.0002275029070532,0.000174191699521867,"26986/6451/8531/4904/3192/80315/221662/7555",8
"GO:0036293","GO:0036293","response to decreased oxygen levels","27/608","306/18614",3.07769924649993e-06,0.00023540346946874,0.000180240907473393,"5154/2034/285/857/54541/9124/51129/81/5228/378938/4609/468/650/9475/28996/1909/677/29997/4780/126374/665/3091/1027/80315/5328/3727/7422",27
"GO:1903034","GO:1903034","regulation of response to wounding","19/608","170/18614",3.0904250350768e-06,0.00023540346946874,0.000180240907473393,"59/5154/4638/857/150/114897/2316/7035/7128/5747/2303/5728/3688/948/4780/7056/58189/5328/5592",19
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","24/608","255/18614",3.58581264170006e-06,0.000268935948127505,0.000205915653886128,"2034/857/9636/10054/27338/6201/7128/6187/5728/284/51035/6125/5478/9709/1654/6188/6500/29997/819/57162/3091/1027/3301/10253",24
"GO:0045785","GO:0045785","positive regulation of cell adhesion","36/608","482/18614",3.786102455196e-06,0.000279655294986068,0.000214123114930223,"6347/3569/7168/857/25975/8013/2316/3329/6366/133584/8440/463/6093/567/2113/2303/284/3133/58515/8874/3716/8651/604/6188/948/7082/960/7402/6604/3976/4860/1960/7422/3146/920/3987",36
"GO:0035306","GO:0035306","positive regulation of dephosphorylation","11/608","61/18614",3.91052528169312e-06,0.000281644219329308,0.000215645970686473,"4208/4659/805/23645/3672/5159/6093/650/10395/5478/23261",11
"GO:0001822","GO:0001822","kidney development","27/608","310/18614",3.92857577731137e-06,0.000281644219329308,0.000215645970686473,"59/5154/4854/285/9510/4208/3764/182/5159/1910/4609/84159/2028/4953/2296/2303/650/284/25959/1909/3911/56603/388585/2828/3976/171023/7422",27
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","28/608","329/18614",4.07353079316344e-06,0.000287803806038721,0.000220362169222846,"4691/3178/26986/4869/8531/6093/9475/9775/6428/7832/3182/4904/3183/1655/2521/9939/677/26135/10140/3192/6432/3181/3190/328/84081/9584/221662/8761",28
"GO:0048041","GO:0048041","focal adhesion assembly","13/608","86/18614",4.13592445637376e-06,0.000288037596068887,0.000220541174771449,"2824/5747/6093/5728/7094/9475/7414/10395/8874/87/395/7422/3987",13
"GO:0045765","GO:0045765","regulation of angiogenesis","29/608","349/18614",4.4006034290927e-06,0.000302154108687703,0.00023134973698388,"3569/1284/285/9510/388/694/51129/5228/7128/6093/2113/2296/2303/3576/9475/56999/6774/28996/3688/3716/1942/7082/4780/2828/1969/3091/3082/7422/10253",29
"GO:0007517","GO:0007517","muscle organ development","29/608","351/18614",4.91987203254263e-06,0.000330677884896175,0.000253189480127792,"6876/7026/4638/7168/857/4208/467/3679/858/84159/463/8531/2296/2303/4637/650/3164/7832/23764/3688/1909/1655/3911/56603/7402/3976/1960/221662/23493",29
"GO:0061437","GO:0061437","renal system vasculature development","8/608","31/18614",5.01952071432143e-06,0.000330677884896175,0.000253189480127792,"59/4854/285/5159/2303/284/1909/2828",8
"GO:0061440","GO:0061440","kidney vasculature development","8/608","31/18614",5.01952071432143e-06,0.000330677884896175,0.000253189480127792,"59/4854/285/5159/2303/284/1909/2828",8
"GO:0051348","GO:0051348","negative regulation of transferase activity","25/608","279/18614",5.42244314641978e-06,0.000348231119102237,0.000266629430140142,"7026/857/2167/1026/4616/6201/7128/10614/90007/4869/5728/650/6125/5573/5577/5478/55450/3192/1974/5770/1032/1027/3301/10399/10253",25
"GO:2001244","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","11/608","63/18614",5.42883385677334e-06,0.000348231119102237,0.000266629430140142,"857/6201/4609/8440/1649/6421/6188/1984/10399/4170/6154",11
"GO:1990830","GO:1990830","cellular response to leukemia inhibitory factor","14/608","102/18614",5.7084211026817e-06,0.000361409777604848,0.000276719907451938,"2059/292/4144/11156/4691/9021/6217/84159/10678/6428/3192/6432/1974/10253",14
"GO:1901342","GO:1901342","regulation of vasculature development","29/608","355/18614",6.13073323029305e-06,0.000372089810968821,0.000284897267410622,"3569/1284/285/9510/388/694/51129/5228/7128/6093/2113/2296/2303/3576/9475/56999/6774/28996/3688/3716/1942/7082/4780/2828/1969/3091/3082/7422/10253",29
"GO:0044843","GO:0044843","cell cycle G1/S phase transition","25/608","281/18614",6.14851277458474e-06,0.000372089810968821,0.000284897267410622,"6347/3400/56892/9510/595/6909/1026/4609/5728/25959/91607/10263/3688/6194/1654/902/328/6604/1032/55904/23476/5515/1027/571/6154",25
"GO:0051893","GO:0051893","regulation of focal adhesion assembly","11/608","64/18614",6.36460177093396e-06,0.000372089810968821,0.000284897267410622,"2824/5747/6093/5728/7094/9475/7414/10395/395/7422/3987",11
"GO:0090109","GO:0090109","regulation of cell-substrate junction assembly","11/608","64/18614",6.36460177093396e-06,0.000372089810968821,0.000284897267410622,"2824/5747/6093/5728/7094/9475/7414/10395/395/7422/3987",11
"GO:0045444","GO:0045444","fat cell differentiation","23/608","246/18614",6.36689165166222e-06,0.000372089810968821,0.000284897267410622,"3400/10974/3569/79689/595/2167/1052/182/8013/221395/84159/83643/2487/650/3164/1649/7041/8651/4023/677/3192/64641/171023",23
"GO:0150115","GO:0150115","cell-substrate junction organization","14/608","103/18614",6.41139366592431e-06,0.000372089810968821,0.000284897267410622,"2824/5747/6093/5728/7094/9475/7414/10395/8874/87/395/7422/10982/3987",14
"GO:1990823","GO:1990823","response to leukemia inhibitory factor","14/608","103/18614",6.41139366592431e-06,0.000372089810968821,0.000284897267410622,"2059/292/4144/11156/4691/9021/6217/84159/10678/6428/3192/6432/1974/10253",14
"GO:0019058","GO:0019058","viral life cycle","27/608","320/18614",7.08078438932471e-06,0.000406103810564211,0.000310940699003659,"6347/6355/857/9636/2040/858/684/8519/10581/26986/3428/3576/5478/3688/10410/10155/1654/5093/3838/81603/5819/6520/1969/9218/3146/920/1915",27
"GO:0045446","GO:0045446","endothelial cell differentiation","15/608","119/18614",7.76685539907016e-06,0.000440272326400779,0.000337102438740548,"7026/81575/182/694/1910/6093/9475/7414/7430/1909/7082/23135/23462/23493/7422",15
"GO:0050792","GO:0050792","regulation of viral process","18/608","165/18614",7.86737917064922e-06,0.000440844522493275,0.000337540550987564,"9636/2040/684/8519/10581/10614/26986/3428/3576/5478/10410/10155/1654/3838/81603/5819/3146/920",18
"GO:0043484","GO:0043484","regulation of RNA splicing","19/608","182/18614",8.43015337903774e-06,0.000467011337759193,0.000357575644522342,"4691/3178/3189/54407/6428/1655/2521/3187/9939/3192/6432/3181/3190/6207/84081/3185/9584/221662/6430",19
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","30/608","381/18614",8.79561243804213e-06,0.000475526291308976,0.000364095272114792,"857/292/467/7078/6201/7128/4609/8440/8531/5728/5478/1649/9709/1654/6421/6188/7417/960/293/1984/4780/3190/5770/1032/3091/3301/3082/10399/4170/6154",30
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","23/608","251/18614",8.87649077110089e-06,0.000475526291308976,0.000364095272114792,"6347/3400/9510/595/1026/4609/5728/25959/91607/10263/3688/6194/1654/902/328/6604/1032/55904/23476/5515/1027/571/6154",23
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","23/608","251/18614",8.87649077110089e-06,0.000475526291308976,0.000364095272114792,"7078/6201/8140/26986/8531/6093/51035/6125/6774/3182/28996/4904/3183/2521/1982/10140/3192/29997/819/8667/3082/221662/4170",23
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","9/608","44/18614",1.01695901174648e-05,0.000538877737202619,0.00041260144801522,"2034/56892/467/8440/468/1649/4780/3091/7422",9
"GO:0031053","GO:0031053","primary miRNA processing","6/608","17/18614",1.07795815190593e-05,0.000565058708660365,0.000432647380493313,"3569/6428/6774/1654/1655/3181",6
"GO:0031032","GO:0031032","actomyosin structure organization","20/608","202/18614",1.09003105477818e-05,0.000565308658728043,0.000432838759265779,"10398/4629/7168/1465/4627/9124/25802/1264/5159/6093/3925/9475/5573/10174/10395/3688/1466/7082/257019/395",20
"GO:0032970","GO:0032970","regulation of actin filament-based process","30/608","387/18614",1.19186030985549e-05,0.000611612527425844,0.000468292150553747,"59/5154/171024/7168/2059/857/11034/397/2824/4627/25802/2316/684/90952/10092/6366/5159/8440/5350/7114/6093/3925/9475/10174/7408/10395/23433/7082/10344/395",30
"GO:0060840","GO:0060840","artery development","14/608","109/18614",1.24819892953997e-05,0.000633851018907014,0.00048531945220929,"4638/4854/6909/182/221395/5159/2296/2303/56999/1649/1909/23462/23493/7422",14
"GO:0001666","GO:0001666","response to hypoxia","25/608","293/18614",1.27038862479979e-05,0.00063504729813217,0.000486235404950429,"5154/2034/285/857/54541/9124/51129/81/5228/378938/4609/650/9475/28996/1909/677/29997/4780/126374/665/3091/1027/5328/3727/7422",25
"GO:0033673","GO:0033673","negative regulation of kinase activity","22/608","239/18614",1.28963451312995e-05,0.00063504729813217,0.000486235404950429,"7026/857/2167/1026/4616/7128/10614/90007/4869/5728/650/5573/5577/5478/55450/3192/5770/1032/1027/3301/10399/10253",22
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","22/608","239/18614",1.28963451312995e-05,0.00063504729813217,0.000486235404950429,"1983/6193/6125/6223/3799/6232/6147/6628/6128/3646/6208/29997/6134/6169/27335/8667/51386/8666/6234/11171/8669/6430",22
"GO:0001503","GO:0001503","ossification","32/608","429/18614",1.3413749967842e-05,0.000653920310932299,0.000500685867220714,"3400/3569/4208/2824/1052/9636/182/8519/22856/51232/9188/5747/5552/506/2296/2303/468/650/7171/2274/1749/3183/3336/1655/10140/3192/6169/1969/3091/26156/3082/3727",32
"GO:0014812","GO:0014812","muscle cell migration","14/608","110/18614",1.38805854087592e-05,0.000667131568138802,0.00051080130431745,"5154/7168/9510/4208/8013/51177/5159/6093/1649/4780/328/10276/5328/5592",14
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","35/608","491/18614",1.41496630653906e-05,0.000667131568138802,0.00051080130431745,"6347/3569/857/441478/114897/182/8013/3329/80139/6366/8440/8654/5747/567/2113/650/5573/3133/5074/58515/3659/3716/8651/604/6188/7082/960/6604/57162/4860/1960/7422/3146/5592/920",35
